cnae_descricao,tipo
Extração de minério de níquel,mal
Extração de minério de tungstênio,mal
"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente",mal
Extração de minérios de nióbio e titânio,mal
Extração de outros minerais não-metálicos não especificados anteriormente,mal
Extração de petróleo e gás natural,mal
Extração de quartzo,mal
Extração de saibro e beneficiamento associado,mal
Extração de sal marinho,mal
Extração de sal-gema,mal
Extração e beneficiamento de areias betuminosas,mal
Extração e beneficiamento de xisto,mal
Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,mal
Fabricação de absorventes higiênicos,mal
Fabricação de açúcar de cana refinado,mal
Fabricação de açúcar de cereais (dextrose) e de beterraba,mal
Fabricação de açúcar em bruto,mal
Fabricação de aditivos de uso industrial,mal
Fabricação de adoçantes naturais e artificiais,mal
Fabricação de adubos e fertilizantes organo-minerais,mal
"Fabricação de adubos e fertilizantes, exceto organo-minerais",mal
Fabricação de aguardente de cana-de-açúcar,mal
Fabricação de alimentos dietéticos e complementos alimentares,mal
Fabricação de alimentos e pratos prontos,mal
Fabricação de alimentos para animais,mal
Fabricação de amidos e féculas de vegetais,mal
Fabricação de artefatos de tanoaria e de embalagens de madeira,mal
"Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis",mal
"Fabricação de artefatos diversos de madeira, exceto móveis",mal
Fabricação de bebidas isotônicas,mal
Fabricação de biscoitos e bolachas,mal
Fabricação de cartolina e papel-cartão,mal
Fabricação de casas de madeira pré-fabricadas,mal
Fabricação de celulose e outras pastas para a fabricação de papel,mal
Fabricação de cervejas e chopes,mal
Fabricação de chá mate e outros chás prontos para consumo,mal
Fabricação de chapas e de embalagens de papelão ondulado,mal
Fabricação de cigarrilhas e charutos,mal
Fabricação de cigarros,mal
Fabricação de conservas de frutas,mal
"Fabricação de conservas de legumes e outros vegetais, exceto palmito",mal
Fabricação de conservas de palmito,mal
Fabricação de defensivos agrícolas,mal
Fabricação de embalagens de cartolina e papel-cartão,mal
Fabricação de embalagens de papel,mal
"Fabricação de especiarias, molhos, temperos e condimentos",mal
Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,mal
Fabricação de farinha de mandioca e derivados,mal
"Fabricação de farinha de milho e derivados, exceto óleos de milho",mal
Fabricação de fermentos e leveduras,mal
Fabricação de filtros para cigarros,mal
Fabricação de formulários contínuos,mal
Fabricação de fraldas descartáveis,mal
"Fabricação de frutas cristalizadas, balas e semelhantes",mal
Fabricação de gases industriais,mal
Fabricação de gelo comum,mal
Fabricação de intermediários para fertilizantes,mal
"Fabricação de intermediários para plastificantes, resinas e fibras",mal
Fabricação de laticínios,mal
"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",mal
"Fabricação de malte, inclusive malte uísque",mal
"Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo, peças e acessórios",mal
Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais,mal
Fabricação de massas alimentícias,mal
Fabricação de óleo de milho em bruto,mal
Fabricação de óleo de milho refinado,mal
"Fabricação de óleos vegetais em bruto, exceto óleo de milho",mal
"Fabricação de óleos vegetais refinados, exceto óleo de milho",mal
Fabricação de outras aguardentes e bebidas destiladas,mal
Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente,mal
"Fabricação de outras máquinas e equipamentos para uso na extração mineral, peças e acessórios, exceto na extração de petróleo",mal
Fabricação de outros artigos de carpintaria para construção,mal
Fabricação de outros produtos alimentícios não especificados anteriormente,mal
